,ticker,Date,Posible_compra
34240,SPGI,2011-11-14,No
34241,SPGI,2012-02-14,No
34242,SPGI,2012-05-15,No
34243,SPGI,2012-08-14,No
34244,SPGI,2012-11-14,No
34245,SPGI,2013-02-14,No
34246,SPGI,2013-05-15,No
34247,SPGI,2013-08-14,No
34248,SPGI,2013-11-14,No
34249,SPGI,2014-02-14,No
34250,SPGI,2014-05-15,No
34251,SPGI,2014-08-14,No
34252,SPGI,2014-11-14,Sí
34253,SPGI,2015-02-14,No
34254,SPGI,2015-05-15,No
34255,SPGI,2015-08-14,No
34256,SPGI,2015-11-14,No
34257,SPGI,2016-02-14,No
34258,SPGI,2016-05-15,No
34259,SPGI,2016-08-14,No
34260,SPGI,2016-11-14,No
34261,SPGI,2017-02-14,Sí
34262,SPGI,2017-05-15,Sí
34263,SPGI,2017-08-14,Sí
34264,SPGI,2017-11-14,Sí
34265,SPGI,2018-02-14,Sí
34266,SPGI,2018-05-15,No
34267,SPGI,2018-08-14,Sí
34268,SPGI,2018-11-14,Sí
34269,SPGI,2019-02-14,Sí
34270,SPGI,2019-05-15,No
34271,SPGI,2019-08-14,Sí
34272,SPGI,2019-11-14,Sí
34273,SPGI,2020-02-14,Sí
34274,SPGI,2020-05-15,No
34275,SPGI,2020-08-14,No
34276,SPGI,2020-11-14,No
34277,SPGI,2021-02-14,No
34278,SPGI,2021-05-15,No
34279,SPGI,2021-08-14,No
34280,SPGI,2021-11-14,No
34281,SPGI,2022-02-14,No
34282,SPGI,2022-05-15,No
34283,SPGI,2022-08-14,No
34284,SPGI,2022-11-14,No
34285,SRE,2000-05-15,No
34286,SRE,2000-08-14,No
34287,SRE,2000-11-14,No
34288,SRE,2001-02-14,No
34289,SRE,2001-05-15,No
34290,SRE,2001-08-14,No
34291,SRE,2001-11-14,No
34292,SRE,2002-02-14,No
34293,SRE,2002-05-15,No
34294,SRE,2002-08-14,Sí
34295,SRE,2002-11-14,Sí
34296,SRE,2003-02-14,Sí
34297,SRE,2003-05-15,Sí
34298,SRE,2003-08-14,No
34299,SRE,2003-11-14,No
34300,SRE,2004-02-14,No
34301,SRE,2004-05-15,No
34302,SRE,2004-08-14,No
34303,SRE,2004-11-14,No
34304,SRE,2005-02-14,No
34305,SRE,2005-05-15,No
34306,SRE,2005-08-14,Sí
34307,SRE,2005-11-14,No
34308,SRE,2006-02-14,No
34309,SRE,2006-05-15,Sí
34310,SRE,2006-08-14,Sí
34311,SRE,2006-11-14,Sí
34312,SRE,2007-02-14,No
34313,SRE,2007-05-15,No
34314,SRE,2007-08-14,No
34315,SRE,2007-11-14,No
34316,SRE,2008-02-14,No
34317,SRE,2008-05-15,No
